compound,1-D9-ATQ-1,2-D9-ATQ-2,3-D9-ND-1,4-D9-ND-2,5-D9-200nM-1,6-D9-200nM-2,7-D9-500nM-1,8-D9-500nM-2,9-D9-2uM-1,10-D9-2uM-2,11-E9-ATQ-1,12-E9-ATQ2,13-E9-ND-1,14-E9-ND-2,15-E9-200nM-1,16-E9-200nM-2,17-E9-500nM-1,18-E9-500nM-2,19-E9-2uM-1,20-E9-2uM-2,21-FG0305-ATQ-1,22-FG0305-ATQ-2,23-FG0305-ND-1,24-FG0305-ND-2,25-FG0305-200nM-1,26-FG0305-200nM-2,27-FG0305-500nM-1,28-FG0305-500nM-2,29-FG0305-2uM-1,30-FG0305-2uM-2,QC-1,QC-2,QC-3,QC-4,QC-5,QC-6
Nicotinic Acid Mononucleotide,1388253.37,1477295.711,1275148.79,1497039.734,1044599.431,1018946.558,1259086.492,1192551.516,1134490.803,1364567.614,1439909.643,1256236.195,1568375.611,1430874.261,1172557.773,1173487.893,1770968.848,1452715.854,1042603.103,1162411.201,1424863.967,2001076.8,1534702.452,1646136.133,1226148.122,1438645.097,1403587.113,1611218.455,1518116.859,1592875.657,1994540.404,2022415.983,1955228.112,2072000.23,2058966.748,2094158.832
melanin,4720630.911,5616780.976,5583993.311,6193449.876,3546623.375,3503988.782,4606291.634,4647431.101,4302041.662,5181824.463,6457605.636,5079219.571,6735500.103,6447981.424,4996721.938,4928570.53,7127835.105,5730917.562,4059933.271,4606539.779,8411205.297,11290794.65,9746571.115,9840301.911,7350371.286,8785046.152,8417897.574,9185597.623,8201917.716,8140939.421,9142812.327,9600200.643,8808559.959,9980594.168,9665026.841,9560495.486
pyridoxine,29580764.57,33662053.28,20515769.07,25084590,23670916.78,25669960.27,45404130.63,18765910.09,24884365.6,29933694.59,9475138.566,5547987.447,14510566.9,5574428.454,8406340.863,13630491.98,21700666.7,10760877.11,6933219.423,6757251.328,11858512.88,22133663.67,12901654.84,12412647.56,13198318.22,14086900.66,13336754.56,11792464.99,25773771.64,16146899.27,48061915.46,51144363.37,48353724.4,53918164.64,51763212.21,50902943.53
N-carbamoyl-L-aspartate,175887027.7,203000457.8,26522094.83,30162905.8,20377462.54,19612648.89,24479975.11,26651979.03,25809817.02,26631705.67,224595065.4,177382818.1,21707389.7,21278794.34,17572508.89,19262736.03,23138173.53,18261209.48,17428784.61,18560770.85,107289144,128258387,18930867.02,18982853.39,15933469.3,19721101.86,19719283.87,19332178.5,17882261.62,15418443.06,58838088.83,52155256.76,52703973.15,55323330.34,52577517.28,52846099.78
phenylalanine,23572628.55,24697681.88,16814387.08,18729260.88,19354540.39,19542838.33,33637527.34,14132243.02,21051065.34,22539407.89,13395546.12,9431321.239,16945792.97,9724819.154,11737165.08,13420442.02,19479276.44,13263023.38,9830708.161,10976519.78,13391920.42,20567400.99,15667653.07,14007720.95,12370990.84,15454238.39,15231575.58,14338764.86,24855817.98,18678812.57,27521840.93,29611325.1,29183334.84,29221921.47,29611545.07,28381537.52
maleate,38547223.14,36812670.42,23868434.84,23104952.34,20881569.03,20282654.28,26900738.9,22164706.74,23996169.52,21164066.8,23507292.33,20012224.41,14586703,13657129.77,13371896.18,14921970.5,18390122.98,12566153.89,15159205.2,13272107.99,44425530.26,49538060.36,27472306.69,28782344.29,28086987.28,33091829.21,34120706.13,34141331.56,32176236.93,26295665.08,43140545.83,44221179.91,41960078.21,40721335.51,39349206.42,39286147.33
ADP-ribose,1106221.345,1242503.898,1167751.397,1531061.453,1093765.24,1236746.096,1039645.382,1211081.855,1150945.248,1598695.603,2850529.728,2309377.339,3625135.281,3554205.421,2740574.078,2981361.89,3912866.608,2674927.92,2106458.842,2151924.562,2189827.336,2876096.754,2283009.192,2665526.957,1908372.464,2410489.747,2053700.001,2071580.619,2071038.745,2095469.62,2181920.722,2073878.206,2032857.116,2227029.434,2141748.055,2231781.761
pentanoate,3888756.334,4222119.098,2989973.657,3666726.962,3601622.406,3568671.352,4813495.045,3207268.732,3025541.81,3814884.995,3833000.924,3147474.702,4070058.395,3293518.653,3347292.689,3164835.684,4088405.36,4102198.822,2760468.335,3116173.008,3674780.469,5420082.015,4415766.788,4166349.367,3870285.885,3771050.982,3680147.995,4128012.429,4294403.02,4703842.848,3156023.617,3303382.371,3195854.273,3556652.95,2897578.92,3076494.303
glucosamine 6-Phosphate,3829552.972,3523580.56,4233451.913,4142078.93,3104589.237,2692478.296,3995112.22,3857987.269,4578569.82,4754889.76,2153125.243,2008668.407,2775034.355,2686339.08,2171352.643,2400865.457,2848088.836,2347799.669,2570190.413,2572237.969,3659403.513,4224166.925,3838206.047,3876759.424,3297008.267,4383158.805,4699878.86,4088881.589,3745083.825,3254938.341,5398905.318,5333174.94,5537531.587,5572901.412,5651722.627,5605165.813
DLH,1730391.592,1741054.577,1632624.108,1850843.943,1136451.553,1111223.072,3251301.243,3209739.471,6148576.485,7264973.295,2553646.605,1926966.265,2941332.368,2576968.64,2597589.994,2451991.755,12736660.81,10337422.61,10428416.41,12103193.87,4353967.659,5997655.052,5040206.915,5083684.416,4776949.145,5549080.733,6259909.065,5874715.318,5823464.935,6075530.78,2776652.077,2864518.988,2956193.537,3108228.023,2960239.876,2995969.544
